cellID,IgM,IgD,IgG,IgE,IgA
4a208,185,0,42,0,22
4a209,0,0,4,0,7
4a210,1,0,109,0,61
4a211,0,0,3,0,5
4a212,0,0,11,0,5
4a213,0,0,23,0,7
4a214,2,0,526,0,5
4a215,4,0,30,0,73
4a216,1,0,19,0,268
4a217,0,0,12,0,10
4a218,4,0,51,0,91
4a219,110,0,14,0,327
4a220,5,0,44,0,69
4a221,2,0,36,1,1731
4a222,3,0,140,0,3891
4a223,4,0,2484,0,116
4a224,0,0,5,0,15
4a225,2,0,37,0,456
4a226,6,0,82,11,122
4a227,2,0,22,0,165
4a228,0,0,11,0,7
4a229,1,0,168,0,25
4a230,0,0,21,1,232
4a231,0,0,15,0,37
4a232,0,0,4,163,474
4a233,1,0,14,0,5
4a234,1,0,580,0,9
4a235,1,0,2100,0,51
4a236,1,0,15,0,8
4a237,0,0,3054,0,112
4a238,0,0,3310,0,26
4a239,1,0,9,0,51
4a240,1,0,17,0,2165
4a241,114,0,106,0,57
4a242,10,0,95,0,22
4a243,16,0,11992,0,131
4a244,1,0,15,0,34
4a245,1,0,811,0,13
4a246,0,0,2,0,2
4a247,0,0,34,0,40
4a248,1,0,10,0,1313
4a249,9,0,54,0,4674
4a250,0,0,726,0,13
4a251,0,0,10,0,91
4a252,14,0,85,0,476
4a253,1,0,1068,0,14
4a254,1,0,5,0,25
4a255,4,0,107,0,2260
4a256,426,0,105,0,31
4a257,2,0,3361,0,19
4a258,1,0,50,0,3924
4a259,1,0,151,0,10
4a260,1,0,247,0,28
4a261,0,0,4,0,2002
4a262,0,0,14,0,1576
4a263,0,0,0,0,119
4a264,1,0,1,0,4
4a265,0,0,7,0,488
4a266,1,0,2,1,6
4a267,3,0,236,0,1
4a268,2,0,73,1,118
4a269,3,0,49,0,50
4a270,0,0,76,0,11851
4a271,3,0,1060,1,53
4a272,1,0,7549,2,28
4a273,0,0,2,0,2
4a274,0,0,21,0,10
4a275,0,0,8,0,666
4a276,13,0,94,0,96
4a277,307,0,2941,0,70
4a278,2,0,23,0,2183
4a279,2,0,259,0,18
4a280,0,0,11043,0,24
4a281,1,0,22,0,22
4a282,1,0,19,0,337
4a283,0,0,25,0,57
4a284,13,0,108,0,986
4a285,1,0,12,0,15
4a286,1,0,2575,0,22
4a287,1,0,1177,0,52
4a288,1,0,1120,0,57
4a289,5,0,3195,0,85
4a290,0,0,2848,0,7
4a291,1,0,34,0,329
4a292,8,0,59,0,27
4a293,0,0,472,1,33
4a294,1,0,41,0,48
4a295,1,0,32,0,27
4a296,0,0,4,0,263
4a297,1721,0,60,0,166
4a298,0,0,1227,0,13
4a299,1,0,23,0,1165
4a300,0,0,11,1,7
4a301,0,0,25,0,22
4a302,0,0,5,0,38
4a305,0,0,956,0,1
4a306,0,0,6,0,3
4a307,0,0,53,0,1
4a308,8,0,84,0,21
4a309,0,0,10,1,31
4a310,0,0,692,0,4
4a311,0,0,0,0,100
4a312,3,0,14,0,208
4a313,0,0,22,0,34
4a314,0,0,276,0,4
4a315,0,0,1,0,4
4a316,1,0,164,0,32
4a317,0,0,3,0,155
4a318,1,0,305,0,21
4a319,0,0,36,0,718
4a320,0,0,15,0,21
4a321,0,0,10,0,14
4a322,0,0,53,0,6
4a323,0,0,12,0,543
4a324,5,0,11,0,613
4a325,0,0,1007,0,14
4a326,0,0,78,0,24
4a327,1,0,3,0,31
4a328,3,0,55,0,10
4a329,26,0,66,1,845
4a330,0,0,8,0,140
4a331,41,0,259,1,257
4a332,6,0,80,0,75
4a333,0,4,6,0,4
4a334,1,0,5,0,1409
4a335,0,0,81,0,28
4a336,1,0,11,0,558
4a337,12,0,1,0,3
4a338,0,0,127,0,16
4a339,16,0,343,0,19
4a340,0,0,1,0,255
4a341,0,0,5,0,183
4a342,1,0,0,0,2
4a343,4,0,26,0,11
4a344,0,0,12,0,3
4a345,15,0,336,0,208
4a346,2,0,55,1,28
4a347,4,0,39,0,2170
4a348,0,0,11,0,87
4a349,4,0,79,0,21
4a350,0,0,17,0,1137
4a351,1,0,1204,0,33
4a352,0,0,44,0,1
4a353,67,0,366,0,6
4a354,0,0,15,0,131
4a355,0,0,5,0,212
4a356,2,0,53,0,8
4a357,0,0,1131,0,1637
4a358,21,0,13,0,4
4a359,1,0,77,0,13
4a360,3,0,75,0,14
4a361,0,0,348,0,4
4a362,0,0,663,0,5
4a363,2,0,16,1,1854
4a364,9,0,374,1,105
4a365,1,0,1,0,10
4a366,0,0,20,0,33
4a367,0,0,8,0,12
4a368,0,0,16,0,11
4a369,1,0,8,0,3
4a370,10,0,116,0,4037
4a371,0,0,300,0,0
4a372,2,0,65,0,2476
4a373,0,0,48,0,18
4a374,2,0,20,0,10
4a375,1,0,2076,0,25
4a376,3,0,122,0,67
4a377,0,0,306,0,2
4a378,0,0,4,0,2
4a379,1,0,7544,0,52
4a380,1,0,9,0,1
4a381,0,0,4,0,5
4a382,3,0,111,0,6546
4a383,0,0,21,0,1290
4a384,0,0,4,0,6
4a385,0,0,15,0,2
4a386,0,0,73,1,21
4a387,0,0,11,0,25
4a388,2,0,3314,0,51
4a389,0,0,367,0,17
4a390,0,0,13,0,40
4a391,13,0,376,0,814
4a392,1,0,16,0,32
4a393,0,0,0,0,4
4a394,1,0,1764,0,29
4a395,0,0,1252,0,37
