rawid,subtype,wellID,treatment,id
235,P,225,none,235
235,M,217,none,235
235,N,209,none,235
235,T,233,none,235
832,M,281,none,832
832,M,BTK_217,BTK,832
832,N,273,none,832
832,N,BTK_209,BTK,832
832,P,289,none,832
832,P,BTK_225,BTK,832
832,T,297,none,832
832,T,BTK_233,BTK,832
833,M,280,none,833
833,M,BTK_216,BTK,833
833,N,272,none,833
833,P,288,none,833
833,P,BTK_224,BTK,833
833,T,296,none,833
833,T,BTK_232,BTK,833
833,N,BTK_208,BTK,833
235-1,P,273,none,235
235-1,M,265,none,235
235-1,N,257,none,235
235-1,T,281,none,235
M,M,304,none,F
M,M,305,none,F
M,M,306,none,F
M,M,307,none,F
M,M,312,none,F
M,M,313,none,F
M,M,314,none,F
M,M,315,none,F
M,M,320,none,F
M,M,321,none,F
M,M,322,none,F
M,M,323,none,F
M,M,328,none,F
M,M,329,none,F
M,M,330,none,F
M,M,331,none,F
M,M,336,none,F
M,M,337,none,F
M,M,338,none,F
M,M,339,none,F
M,M,344,none,F
M,M,345,none,F
M,M,346,none,F
M,M,347,none,F
M,M,352,none,F
M,M,353,none,F
M,M,354,none,F
M,M,355,none,F
M,M,360,none,F
M,M,361,none,F
M,M,362,none,F
M,M,363,none,F
M,M,368,none,F
M,M,369,none,F
M,M,370,none,F
M,M,371,none,F
M,M,376,none,F
M,M,377,none,F
M,M,378,none,F
M,M,379,none,F
M,M,384,none,F
M,M,385,none,F
M,M,386,none,F
M,M,387,none,F
M,M,392,none,F
M,M,393,none,F
M,M,394,none,F
M,M,395,none,F
N,N,212,none,F
N,N,213,none,F
N,N,214,none,F
N,N,215,none,F
N,N,220,none,F
N,N,221,none,F
N,N,222,none,F
N,N,223,none,F
N,N,228,none,F
N,N,229,none,F
N,N,230,none,F
N,N,231,none,F
N,N,236,none,F
N,N,237,none,F
N,N,238,none,F
N,N,239,none,F
N,N,244,none,F
N,N,245,none,F
N,N,246,none,F
N,N,247,none,F
N,N,252,none,F
N,N,253,none,F
N,N,254,none,F
N,N,255,none,F
N,N,260,none,F
N,N,261,none,F
N,N,262,none,F
N,N,263,none,F
N,N,268,none,F
N,N,269,none,F
N,N,270,none,F
N,N,271,none,F
N,N,276,none,F
N,N,277,none,F
N,N,278,none,F
N,N,279,none,F
N,N,284,none,F
N,N,285,none,F
N,N,286,none,F
N,N,287,none,F
N,N,292,none,F
N,N,293,none,F
N,N,294,none,F
N,N,300,none,F
N,N,301,none,F
N,N,302,none,F
P,P,208,none,F
P,P,209,none,F
P,P,210,none,F
P,P,211,none,F
P,P,216,none,F
P,P,217,none,F
P,P,218,none,F
P,P,219,none,F
P,P,224,none,F
P,P,225,none,F
P,P,226,none,F
P,P,227,none,F
P,P,232,none,F
P,P,233,none,F
P,P,234,none,F
P,P,235,none,F
P,P,240,none,F
P,P,241,none,F
P,P,242,none,F
P,P,243,none,F
P,P,248,none,F
P,P,249,none,F
P,P,250,none,F
P,P,251,none,F
P,P,256,none,F
P,P,257,none,F
P,P,258,none,F
P,P,259,none,F
P,P,264,none,F
P,P,265,none,F
P,P,266,none,F
P,P,267,none,F
P,P,272,none,F
P,P,273,none,F
P,P,274,none,F
P,P,275,none,F
P,P,280,none,F
P,P,281,none,F
P,P,282,none,F
P,P,283,none,F
P,P,288,none,F
P,P,289,none,F
P,P,290,none,F
P,P,291,none,F
P,P,296,none,F
P,P,297,none,F
P,P,298,none,F
P,P,299,none,F
T,T,308,none,F
T,T,309,none,F
T,T,310,none,F
T,T,311,none,F
T,T,316,none,F
T,T,317,none,F
T,T,318,none,F
T,T,319,none,F
T,T,324,none,F
T,T,325,none,F
T,T,326,none,F
T,T,327,none,F
T,T,332,none,F
T,T,333,none,F
T,T,334,none,F
T,T,335,none,F
T,T,340,none,F
T,T,341,none,F
T,T,342,none,F
T,T,343,none,F
T,T,348,none,F
T,T,349,none,F
T,T,350,none,F
T,T,351,none,F
T,T,356,none,F
T,T,357,none,F
T,T,358,none,F
T,T,359,none,F
T,T,364,none,F
T,T,365,none,F
T,T,366,none,F
T,T,367,none,F
T,T,372,none,F
T,T,373,none,F
T,T,374,none,F
T,T,375,none,F
T,T,380,none,F
T,T,381,none,F
T,T,382,none,F
T,T,388,none,F
T,T,389,none,F
T,T,390,none,F
T,T,396,none,F
T,T,397,none,F
T,T,398,none,F
